enviroment,algorithm,learning_rate,batch_size,hidden_units,num_layers,steps,max_steps,ram_gb,cpu_cores,time_horizon,buffer_size,beta,epsilon,lambd,num_epoch,tau,reward_signal_steps_per_update,init_entcoef,num_parallel_agents,training_duration_seconds,peak_ram_mb,gamma,strength,summary_freq,os,timestamp,gpu_available,gpu,gpu_memory_gb,final_mean_entropy,final_sum_entropy,final_mean_reward,final_sum_reward,final_cumulative_mean_reward,final_cumulative_sum_reward,final_mean_extrinsic_value_estimate,final_sum_extrinsic_value_estimate,final_mean_policy_loss,final_sum_policy_loss,final_mean_value_loss,final_sum_value_loss,final_mean_q1_loss,final_sum_q1_loss,final_mean_q2_loss,final_sum_q2_loss,final_mean_cont_entropy_coeff,final_sum_cont_entropy_coeff,final_learning_rate_mean,final_learning_rate_sum
3DBall,ppo,0.0005958284774414,64,834,1,234987,234663,63.77914810180664,28,512,2048,0.0050518653240209,0.128220710956919,0.9861542618922006,6,0.0,0.0,0.0,1,162.0844949,1125.40234375,0.8511143086634191,1.0,10000,Windows,2026-01-04T11:20:49.868352,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3868662118911743,14928.228515625,55.94737696020227,1063.000162243843,55.94737696020227,1063.000162243843,0.6039251685142517,16.305978775024414,0.0991845563186239,0.3967382252744956,0.0011419494582372,0.0045677978329489,0,0,0,0,0,0,0.0005958284774414,0.0023833139097659
3DBall,ppo,0.0009976082643686,128,638,4,226412,226307,63.77914810180664,28,256,4096,0.0092322232310107,0.2460162797753294,0.9011067263891884,4,0.0,0.0,0.0,1,102.94484169999998,1142.6484375,0.8024644306789256,1.0,10000,Windows,2026-01-04T11:22:36.590392,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.4349933862686155,14705.8125,16.59677693920751,514.5000851154327,16.59677693920751,514.5000851154327,0.4083322584629059,22.4582748413086,0.0711283308810379,0.1422566617620759,0.0005356995403857,0.0010713990807715,0,0,0,0,0,0,0.0009976082643686,0.0019952165287373
3DBall,ppo,0.0001839571439041,512,230,1,473802,473753,63.77914810180664,28,64,8192,0.0085681482446327,0.1944117593165068,0.9779781419268856,3,0.0,0.0,0.0,1,148.62920899999995,1111.84375,0.9179123859592776,1.0,10000,Windows,2026-01-04T11:25:08.884344,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.377049446105957,14078.953125,100.00000858306883,1400.000120162964,100.00000858306883,1400.000120162964,1.217959761619568,197.3094787597656,0.0343091390071398,0.0686182780142796,0.0003730231657452,0.0007460463314904,0,0,0,0,0,0,0.0001839571439041,0.0003679142878082
3DBall,ppo,0.0003885255540328,512,586,2,354573,354445,63.77914810180664,28,256,2048,0.00730628851349,0.1302087858915223,0.9023253767835194,8,0.0,0.0,0.0,1,144.52369279999994,1130.43359375,0.8440881036188609,1.0,10000,Windows,2026-01-04T11:27:37.166549,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.392734169960022,14339.5908203125,52.84063399210572,1690.9002877473831,52.84063399210572,1690.9002877473831,0.5640750527381897,29.895977020263672,0.0322290203112061,0.1289160812448244,0.0006971818974648,0.0027887275898592,0,0,0,0,0,0,0.0003885255540328,0.0015541022161313
3DBall,ppo,0.0002399661984941,512,108,3,235470,235396,63.77914810180664,28,256,8192,0.0011488661131209,0.1390780951491194,0.9514947830552092,6,0.0,0.0,0.0,1,96.6625725,1124.12109375,0.8432822050824856,1.0,10000,Windows,2026-01-04T11:29:17.535205,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.2634780406951904,12735.8583984375,54.30400922298431,1357.6002305746078,54.30400922298431,1357.6002305746078,0.5663050413131714,28.88155746459961,0.0337421747099142,0.0337421747099142,0.0003366515247762,0.0003366515247762,0,0,0,0,0,0,0.0002399661984941,0.0002399661984941
3DBall,ppo,0.0001776930671042,1024,637,1,311097,311061,63.77914810180664,28,64,4096,0.0089599469068456,0.1071196275909996,0.9420313667823372,10,0.0,0.0,0.0,1,143.81634980000013,1113.31640625,0.8773707791037799,1.0,10000,Windows,2026-01-04T11:31:45.104881,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.2881414890289309,12984.466796875,100.00000858306883,200.0000171661377,100.00000858306883,200.0000171661377,0.8154876232147217,128.03155517578125,0.0223658647038973,0.0447317294077947,1.988373068115834e-05,3.976746136231668e-05,0,0,0,0,0,0,0.0001776930671042,0.0003553861342085
3DBall,ppo,0.0007282115008215,256,756,5,518113,518071,63.77914810180664,28,256,10240,0.0068016835634951,0.1046035128969011,0.9146566643820064,6,0.0,0.0,0.0,1,291.8149738,1169.6953125,0.9900152977874448,1.0,10000,Windows,2026-01-04T11:36:40.689111,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,3.243278741836548,32458.734375,0.3032303824183646,215.9000322818756,0.3032303824183646,215.9000322818756,-0.303919643163681,-216.39077758789065,0.2582879953707258,0.2582879953707258,0.0025120476964123,0.0025120476964123,0,0,0,0,0,0,0.0007282115008215,0.0007282115008215
3DBall,ppo,0.0005496869307219,2048,720,3,555458,554945,63.77914810180664,28,1024,2048,0.0089455293410031,0.1777223520248064,0.9041017607508808,6,0.0,0.0,0.0,1,208.1075779,1188.80078125,0.9837628488646546,1.0,10000,Windows,2026-01-04T11:40:12.563834,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3025975227355957,12020.3701171875,94.58001480102538,945.800148010254,94.58001480102538,945.800148010254,6.041390419006348,60.41390228271485,0.0104610450507607,0.0418441802030429,0.0285553936458503,0.1142215745834012,0,0,0,0,0,0,0.0005496869307219,0.0021987477228877
3DBall,ppo,0.0001383225450021,64,918,5,238187,237969,63.77914810180664,28,1024,2048,0.0037210954750446,0.2230754233043275,0.9034701066730628,6,0.0,0.0,0.0,1,223.3281663,1216.671875,0.9340443298809756,1.0,10000,Windows,2026-01-04T11:43:59.734466,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3253486156463623,1224.6220703125,47.64500706195831,952.9001412391664,47.64500706195831,952.9001412391664,1.2120907306671145,24.24181365966797,0.0795989229648985,0.3183956918595941,0.0027960560470921,0.0111842241883685,0,0,0,0,0,0,0.0001383225450021,0.0005532901800084
3DBall,ppo,0.0001250438479791,256,388,1,406598,406577,63.77914810180664,28,64,4096,0.0097752871598957,0.1266789093635902,0.9509129508395044,9,0.0,0.0,0.0,1,211.9597111999999,1100.28515625,0.8116056422123041,1.0,10000,Windows,2026-01-04T11:47:35.428410,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,1.3201467990875244,13354.6044921875,31.576193146762392,663.1000560820103,31.576193146762392,663.1000560820103,0.482186496257782,81.00733184814453,0.0462355969696848,0.0924711939393697,0.0005760994610379,0.0011521989220758,0,0,0,0,0,0,0.0001250438479791,0.0002500876959582
Basic,ppo,0.0001178406598377,256,567,3,267461,267457,63.77914810180664,28,64,4096,0.001554243045659,0.2279302846330465,0.9730498273558792,7,0.0,0.0,0.0,1,819.9950352000001,1303.88671875,0.9761528018653756,1.0,10000,Windows,2026-01-04T12:03:21.482257,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,3.270421439083293e-05,0.3270748555660248,0.9300000071525574,1328.9700102210045,0.9300000071525574,1328.9700102210045,0.8930918574333191,1276.228271484375,0.0501805462394951,0.1505416387184855,1.066330606514483e-05,3.198991819543449e-05,0,0,0,0,0,0,0.0001178406598377,0.0003535219795133
Basic,ppo,0.0001034830767511,256,629,1,419732,419727,63.77914810180664,28,1024,8192,0.0019270924361125,0.112095371603611,0.9881418771379205,3,0.0,0.0,0.0,1,1020.5857224,1290.1796875,0.8125568800491522,1.0,10000,Windows,2026-01-04T12:20:25.844181,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0004910435527563,4.903560638427734,0.9300000071525574,1328.040010213852,0.9300000071525574,1328.040010213852,0.555856466293335,793.7630615234375,0.0496172005465875,0.099234401093175,4.3690063322085006e-14,8.738012664417001e-14,0,0,0,0,0,0,0.0001034830767511,0.0002069661535023
Basic,ppo,0.0003296121354814,128,681,3,400798,400744,63.77914810180664,28,128,8192,0.0095140564094419,0.2010506376912385,0.9207015504899227,10,0.0,0.0,0.0,1,1131.7635425999997,1342.18359375,0.9982008066127775,1.0,10000,Windows,2026-01-04T12:39:21.856886,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,-1.1920927533992653e-07,-0.0011831520823761,0.9238032903827604,281.76000356674194,0.9238032903827604,281.76000356674194,-1.7251209020614624,-134.55943298339844,0.067522556808992,0.067522556808992,0.0003037795066036,0.0003037795066036,0,0,0,0,0,0,0.0003296121354814,0.0003296121354814
Basic,ppo,0.0003449404793665,2048,112,5,440177,440175,63.77914810180664,28,1024,4096,0.0076248043482723,0.2670241529215348,0.9134598374232592,4,0.0,0.0,0.0,1,1054.3827886,1322.515625,0.9339206058194968,1.0,10000,Windows,2026-01-04T12:57:00.276114,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,2.3716629584669136e-06,0.0237071439623832,0.9300000071525574,1328.040010213852,0.9300000071525574,1328.040010213852,0.7870795130729675,1123.9495849609375,0.0069170005735941,0.0207510017207823,5.436189692842319e-16,1.6308569078526958e-15,0,0,0,0,0,0,0.0003449404793665,0.0010348214380996
Basic,ppo,0.0007506565752338,2048,488,2,226293,226290,63.77914810180664,28,64,10240,0.006385230122018,0.1567183927970244,0.9534798730063696,7,0.0,0.0,0.0,1,510.7068833000003,1342.93359375,0.8002753224961763,1.0,10000,Windows,2026-01-04T13:05:34.935337,True,NVIDIA GeForce RTX 4070 Ti,11.99365234375,0.0001174138888018,1.174373745918274,0.9300000071525574,1328.040010213852,0.9300000071525574,1328.040010213852,0.5374717712402344,767.5097045898438,0.0121054918106113,0.0121054918106113,1.4979461123879442e-15,1.4979461123879442e-15,0,0,0,0,0,0,0.0007506565752338,0.0007506565752338
